APA Tenant,HasPay,Segment,Industry,Sub Industry,ERP,Medius Territory,Sum of Employees,Capture License Type,Sum of APA License utilization,AP Automation,Sum of ACV (USD),Sum of Number of Locations,ActivatedModules,ActiveSubsidiaries,ActiveUsers,AvgCommentsPerDocument,AvgCompletedTasksPerWeek,AvgInvoicesPerMonth,AvgLinesPerInvoice,AvgOverdueDays,DistinctLanguages,AvgTimeToCompleteTask,TotalArchivedInvoices,OverdueInvoiceCount,MinInvoiceDate,RootCompanyCreatedTimestamp,Account Description
2xu,0,Mid-Market,Retail,Apparel & Accessories Retail,Apparel21,Medius Australia,240.0,RSO Bulk,38.0,True,25680.1,6.0,6,7,59,1.705660377,788.0,456.153846,6.993494265,27.394782,2,3.113441,5736,1150,3/22/2022 2:30,12/14/2021 5:24,"Founded in Australia in 2005, 2XU is a technical sports apparel company and a platform to help people chase their finish lines. The global leader in sports compression, 2XU compression is designed and tested in consultation with elite athletes, sports sc"
4cgroup,0,Mid-Market,Professional Services,'-,Visma Administration,Medius Sweden,118.0,Medius Capture,45.0,True,4111.88,8.0,7,4,227,1.903381643,318.44186,123.454545,1.375829035,16.686956,2,1.344115,1247,115,5/27/2024 9:08,4/15/2024 14:11,"4C Strategies is a leading provider of organisational resilience, readiness & training solutions by integrating our award-winning Exonaut® software and expert services. Our people, processes and software have been battle tested in mission critical en"
4sound,0,Mid-Market,Retail,Sporting & Recreational Equipment Retail,Visma Global,Medius Sweden,35.0,'-,67.0,True,0.0,2.0,8,2,29,,,,,20.443534,3,,0,0,9/19/2019 9:38,4/8/2019 9:20,Luthman SMTTS AB is a company that operates in the Retail industry. It employs 21-50 people and has $5M-$10M of revenue. The company is headquartered in Sweden.
aaacooper,0,Enterprise,Logistics / Transportation,Freight & Logistics Services,MS Dynamics AX,Medius North America,6200.0,Medius Capture,100.0,True,144999.96,7.0,7,3,336,1.916705756,24182.18519,12031.30769,1.580532213,18.215855,1,3.646129,150595,64886,9/23/2020 18:23,5/13/2020 22:10,"Founded in 1955, AAA Cooper Transportation, an independent subsidiary of Knight-Swift Transportation Holdings, is an asset-based multi-regional transportation solutions provider offering less-than-truckload, truckload, dedicated contract carriage, broker"
aaesbsp,0,Mid-Market,Retail,Office Products Retail & Distribution,Baan; Infor M3,Medius Sweden,151.0,Medius Capture,45.0,True,131655.44,1.0,7,15,444,1.568858593,11452.12963,4511.0,1.106293416,21.38281,5,1.085951,53857,12915,1/9/2023 10:01,4/25/2022 11:52,"Portsystem AB is a company that operates in the Retail industry. It employs 101-250 people and has $10M-$25M of revenue. The company is headquartered in Kalmar, Kalmar, Sweden."
aam,0,Mid-Market,Manufacturing - Non-Durables,Industrial Machinery & Equipment,IFS,Medius Benelux,142.0,Medius Capture,51.0,True,57677.59,2.0,7,4,255,1.629586862,6697.851851,3018.230769,2.507543769,26.981228,2,2.178489,36209,3729,4/11/2023 8:30,9/6/2022 8:14,Lamers High Tech Systems BV is a company that operates in the Mechanical or Industrial Engineering industry. It employs 51-100 people and has $10M-$25M of revenue. The company is headquartered in the Netherlands.
aamp,0,Mid-Market,Manufacturing - Non-Durables,Automotive Parts,Oracle NetSuite,Medius North America,602.0,Medius Capture,47.0,True,30822.96,4.0,8,6,206,1.185185185,1258.388888,569.153846,1.228868841,24.916938,1,1.153151,7026,1228,11/13/2023 15:43,8/4/2023 13:02,"For over 34 years AAMP has advanced automotive aftermarket technology. The company's R&D capabilities has positioned AAMP as the market leader in highly engineered integration solutions, which enable aftermarket audio, safety, and infotainment pr"
aarstiderne,0,Mid-Market,Retail,Grocery Retail,MS Dynamics NAV,Medius Denmark,569.0,Medius Capture,78.0,True,41556.12,2.0,8,4,79,2.034274194,4746.87037,2458.230769,4.452588123,22.337827,3,0.930087,27178,2522,6/16/2022 7:09,1/27/2022 19:49,"Din mad skal både være god for dig og for resten af verden. Vi er en flok landmænd, kokke, købmænd og andre madnørder, der har gjort det til vores opgave at levere unikke økologiske måltidskasser og madoplevelser på dit dørtrin. Vi dyrker og udvælger råv"
abbott,0,Enterprise,Manufacturing - Non-Durables,Pharmaceuticals,BPCS / ERP LX,Medius Benelux,114000.0,Medius Capture,84.0,True,53728.14,45.0,9,2,114,1.960451977,1755.574074,673.692307,1.05141844,37.771996,2,2.20859,8294,1057,6/29/2020 7:31,10/2/2018 7:26,Abbott Laboratories manufactures and sells health care products worldwide. The companys Established Pharmaceutical Products segment offers branded generic pharmaceuticals to treat pancreatic exocrine insufficiency; irritable bowel syndrome or biliary spa
abf,0,Enterprise,Holding Companies,'-,MS Dynamics; MS Dynamics AX; Oracle JD Edwards,Medius UK,133000.0,Medius Capture,82.0,True,24861.32,2.0,6,5,238,2.216890042,1813.703703,697.615384,1.001262336,55.40612,2,2.595904,8245,1928,11/12/2020 10:11,7/23/2020 12:08,"Associated British Foods is a food, ingredients and retail holding group. The company has operations across Europe, Southern Africa, the Americas, Asia, and Australia. Headquartered in London, UK, Associated British Foods specializes in the grocery, suga"
